index,window_idx,stock_idx,ticker,score,start_date,end_date
0,0,10,NVDA,9.38861,2023-01-18,2023-01-20
1,0,17,GOOGL,8.61331,2023-01-18,2023-01-20
2,0,19,GOOG,8.9143,2023-01-18,2023-01-20
3,1,10,NVDA,9.55945,2023-01-23,2023-01-25
4,1,16,TSLA,8.95841,2023-01-23,2023-01-25
5,2,10,NVDA,8.47343,2023-01-26,2023-01-30
6,2,16,TSLA,9.10642,2023-01-26,2023-01-30
7,2,28,JNJ,9.98154,2023-01-26,2023-01-30
8,3,2,LLY,11.5648,2023-01-31,2023-02-02
9,3,4,ABBV,10.0202,2023-01-31,2023-02-02
10,3,21,UNH,10.5078,2023-01-31,2023-02-02
11,3,28,JNJ,10.1671,2023-01-31,2023-02-02
12,4,10,NVDA,9.91515,2023-02-03,2023-02-07
13,4,24,AAPL,9.24066,2023-02-03,2023-02-07
14,5,4,ABBV,11.3498,2023-02-08,2023-02-10
15,5,10,NVDA,9.94849,2023-02-08,2023-02-10
16,6,10,NVDA,9.67829,2023-02-13,2023-02-15
17,6,16,TSLA,9.49647,2023-02-13,2023-02-15
18,6,22,PLTR,11.2181,2023-02-13,2023-02-15
19,7,26,WMT,9.73372,2023-02-16,2023-02-21
20,8,10,NVDA,12.803,2023-02-22,2023-02-24
21,9,4,ABBV,9.11122,2023-02-27,2023-03-01
22,9,10,NVDA,9.94047,2023-02-27,2023-03-01
23,10,3,COST,11.0981,2023-03-02,2023-03-06
24,10,29,CRM,11.4524,2023-03-02,2023-03-06
25,11,1,BAC,11.0169,2023-03-07,2023-03-09
26,11,10,NVDA,9.46824,2023-03-07,2023-03-09
27,11,16,TSLA,9.4806,2023-03-07,2023-03-09
28,12,1,BAC,8.78532,2023-03-10,2023-03-14
29,12,2,LLY,9.68451,2023-03-10,2023-03-14
30,12,10,NVDA,8.56091,2023-03-10,2023-03-14
31,13,10,NVDA,10.3949,2023-03-15,2023-03-17
32,13,12,XOM,10.1986,2023-03-15,2023-03-17
33,14,1,BAC,8.05552,2023-03-20,2023-03-22
34,14,10,NVDA,9.15698,2023-03-20,2023-03-22
35,14,13,PM,8.54526,2023-03-20,2023-03-22
36,14,16,TSLA,8.04707,2023-03-20,2023-03-22
37,15,1,BAC,9.54789,2023-03-23,2023-03-27
38,15,10,NVDA,8.97607,2023-03-23,2023-03-27
39,15,13,PM,9.87379,2023-03-23,2023-03-27
40,15,14,NFLX,9.3332,2023-03-23,2023-03-27
41,16,10,NVDA,7.64017,2023-03-28,2023-03-30
42,16,21,UNH,9.0628,2023-03-28,2023-03-30
43,17,10,NVDA,7.97514,2023-03-31,2023-04-04
44,17,16,TSLA,8.40097,2023-03-31,2023-04-04
45,17,21,UNH,7.72913,2023-03-31,2023-04-04
46,18,3,COST,10.7079,2023-04-05,2023-04-10
47,18,10,NVDA,10.6486,2023-04-05,2023-04-10
48,18,16,TSLA,10.6073,2023-04-05,2023-04-10
49,18,22,PLTR,10.2315,2023-04-05,2023-04-10
50,19,7,AMZN,9.17451,2023-04-11,2023-04-13
51,19,10,NVDA,10.1208,2023-04-11,2023-04-13
52,20,1,BAC,10.0824,2023-04-14,2023-04-18
53,20,10,NVDA,10.8199,2023-04-14,2023-04-18
54,20,14,NFLX,9.43782,2023-04-14,2023-04-18
55,20,15,JPM,10.4123,2023-04-14,2023-04-18
56,21,13,PM,11.1294,2023-04-19,2023-04-21
57,21,16,TSLA,12.2669,2023-04-19,2023-04-21
58,21,25,TMUS,11.1782,2023-04-19,2023-04-21
59,22,9,MSFT,12.1923,2023-04-24,2023-04-26
60,23,4,ABBV,12.0355,2023-04-27,2023-05-01
61,23,7,AMZN,10.3367,2023-04-27,2023-05-01
62,23,10,NVDA,10.5509,2023-04-27,2023-05-01
63,23,18,META,10.4365,2023-04-27,2023-05-01
64,24,2,LLY,11.3119,2023-05-02,2023-05-04
65,24,10,NVDA,9.49477,2023-05-02,2023-05-04
66,25,22,PLTR,12.239,2023-05-05,2023-05-09
