index,window_idx,stock_idx,ticker,score,start_date,end_date
0,0,14,NVDA,2.31184,2023-01-18,2023-01-20
1,1,14,NVDA,2.30115,2023-01-19,2023-01-23
2,2,14,NVDA,2.2347,2023-02-01,2023-02-03
3,3,14,NVDA,2.38661,2023-06-12,2023-06-14
4,4,14,NVDA,2.35656,2023-06-13,2023-06-15
5,5,14,NVDA,2.38381,2023-06-14,2023-06-16
6,6,14,NVDA,2.33645,2023-06-15,2023-06-20
7,7,14,NVDA,2.40526,2023-06-16,2023-06-21
8,8,14,NVDA,2.41991,2023-06-20,2023-06-22
9,9,14,NVDA,2.31707,2023-06-21,2023-06-23
10,10,14,NVDA,2.30077,2023-06-22,2023-06-26
11,11,14,NVDA,2.32774,2023-06-23,2023-06-27
12,12,14,NVDA,2.34895,2023-06-26,2023-06-28
13,13,14,NVDA,2.2786,2023-02-02,2023-02-06
14,14,14,NVDA,2.2675,2023-06-27,2023-06-29
15,15,14,NVDA,2.3836,2023-06-28,2023-06-30
16,16,14,NVDA,2.43574,2023-06-29,2023-07-03
17,17,14,NVDA,2.34455,2023-06-30,2023-07-05
18,18,14,NVDA,2.31017,2023-07-03,2023-07-06
19,19,14,NVDA,2.29559,2023-07-05,2023-07-07
20,20,14,NVDA,2.27576,2023-07-06,2023-07-10
21,21,14,NVDA,2.21561,2023-07-07,2023-07-11
22,22,14,NVDA,2.2237,2023-07-10,2023-07-12
23,23,14,NVDA,2.20097,2023-07-11,2023-07-13
24,24,14,NVDA,2.3372,2023-02-03,2023-02-07
25,25,14,NVDA,2.16302,2023-07-12,2023-07-14
26,26,14,NVDA,2.22668,2023-07-13,2023-07-17
27,27,14,NVDA,2.28647,2023-07-14,2023-07-18
28,28,14,NVDA,2.21577,2023-07-17,2023-07-19
29,29,14,NVDA,2.20684,2023-07-18,2023-07-20
30,30,14,NVDA,2.19768,2023-07-19,2023-07-21
31,31,14,NVDA,2.20719,2023-07-20,2023-07-24
32,32,14,NVDA,2.3023,2023-07-21,2023-07-25
33,33,14,NVDA,2.38144,2023-07-24,2023-07-26
34,34,14,NVDA,2.52563,2023-07-25,2023-07-27
35,35,14,NVDA,2.24858,2023-02-06,2023-02-08
36,36,14,NVDA,2.37855,2023-07-26,2023-07-28
37,37,14,NVDA,2.32396,2023-07-27,2023-07-31
38,38,14,NVDA,2.35589,2023-07-28,2023-08-01
39,39,14,NVDA,2.36462,2023-07-31,2023-08-02
40,40,14,NVDA,2.53632,2023-08-01,2023-08-03
41,41,10,AMZN,2.06707,2023-08-02,2023-08-04
42,41,14,NVDA,2.54232,2023-08-02,2023-08-04
43,42,10,AMZN,2.05174,2023-08-03,2023-08-07
44,42,14,NVDA,2.38097,2023-08-03,2023-08-07
45,43,14,NVDA,2.31343,2023-08-04,2023-08-08
46,44,14,NVDA,2.38614,2023-08-07,2023-08-09
47,45,14,NVDA,2.46734,2023-08-08,2023-08-10
48,46,14,NVDA,2.2415,2023-02-07,2023-02-09
49,47,14,NVDA,2.49894,2023-08-09,2023-08-11
50,48,14,NVDA,2.43581,2023-08-10,2023-08-14
51,49,14,NVDA,2.3264,2023-08-11,2023-08-15
52,50,14,NVDA,2.43296,2023-08-14,2023-08-16
53,51,14,NVDA,2.44881,2023-08-15,2023-08-17
54,52,14,NVDA,2.47937,2023-08-16,2023-08-18
55,53,14,NVDA,2.38028,2023-08-17,2023-08-21
56,54,14,NVDA,2.39243,2023-08-18,2023-08-22
57,55,14,NVDA,2.40509,2023-08-21,2023-08-23
58,56,14,NVDA,2.42417,2023-08-22,2023-08-24
59,57,14,NVDA,2.33791,2023-02-08,2023-02-10
60,58,14,NVDA,2.39717,2023-08-23,2023-08-25
61,59,14,NVDA,2.40875,2023-08-24,2023-08-28
62,60,14,NVDA,2.37382,2023-08-25,2023-08-29
63,61,14,NVDA,2.40404,2023-08-28,2023-08-30
64,62,14,NVDA,2.3876,2023-08-29,2023-08-31
65,63,14,NVDA,2.42915,2023-08-30,2023-09-01
66,64,14,NVDA,2.29842,2023-08-31,2023-09-05
67,65,14,NVDA,2.40281,2023-09-01,2023-09-06
68,66,14,NVDA,2.35895,2023-09-05,2023-09-07
69,67,14,NVDA,2.35999,2023-09-06,2023-09-08
70,68,14,NVDA,2.37933,2023-02-09,2023-02-13
71,69,14,NVDA,2.4403,2023-09-07,2023-09-11
72,70,14,NVDA,2.40219,2023-09-08,2023-09-12
73,71,14,NVDA,2.33234,2023-09-11,2023-09-13
74,72,14,NVDA,2.32782,2023-09-12,2023-09-14
75,73,14,NVDA,2.35327,2023-09-13,2023-09-15
76,74,14,NVDA,2.36998,2023-09-14,2023-09-18
77,75,14,NVDA,2.34608,2023-09-15,2023-09-19
78,76,14,NVDA,2.4014,2023-09-18,2023-09-20
79,77,14,NVDA,2.30303,2023-09-19,2023-09-21
80,78,14,NVDA,2.3787,2023-09-20,2023-09-22
81,79,14,NVDA,2.40508,2023-02-10,2023-02-14
82,80,14,NVDA,2.39729,2023-09-21,2023-09-25
83,81,14,NVDA,2.37808,2023-09-22,2023-09-26
84,82,14,NVDA,2.24143,2023-09-25,2023-09-27
85,83,14,NVDA,2.24105,2023-09-26,2023-09-28
86,84,14,NVDA,2.33811,2023-09-27,2023-09-29
87,85,14,NVDA,2.39042,2023-09-28,2023-10-02
88,86,14,NVDA,2.47715,2023-09-29,2023-10-03
89,87,14,NVDA,2.54957,2023-10-02,2023-10-04
90,88,14,NVDA,2.64901,2023-10-03,2023-10-05
91,89,14,NVDA,2.63766,2023-10-04,2023-10-06
92,90,14,NVDA,2.37367,2023-02-13,2023-02-15
93,91,14,NVDA,2.51282,2023-10-05,2023-10-09
94,92,14,NVDA,2.47515,2023-10-06,2023-10-10
95,93,14,NVDA,2.43175,2023-10-09,2023-10-11
96,94,14,NVDA,2.47836,2023-10-10,2023-10-12
97,95,14,NVDA,2.50099,2023-10-11,2023-10-13
98,96,14,NVDA,2.46882,2023-10-12,2023-10-16
99,97,14,NVDA,2.47182,2023-10-13,2023-10-17
100,98,14,NVDA,2.47104,2023-10-16,2023-10-18
101,99,14,NVDA,2.57823,2023-10-17,2023-10-19
102,100,14,NVDA,2.44465,2023-10-18,2023-10-20
103,101,14,NVDA,2.37639,2023-02-14,2023-02-16
104,102,14,NVDA,2.48601,2023-10-19,2023-10-23
105,103,14,NVDA,2.49421,2023-10-20,2023-10-24
106,104,14,NVDA,2.39485,2023-10-23,2023-10-25
107,105,14,NVDA,2.34564,2023-10-24,2023-10-26
108,106,14,NVDA,2.25608,2023-10-25,2023-10-27
109,107,14,NVDA,2.31061,2023-10-26,2023-10-30
110,108,14,NVDA,2.42685,2023-10-27,2023-10-31
111,109,14,NVDA,2.48958,2023-10-30,2023-11-01
112,110,14,NVDA,2.48924,2023-10-31,2023-11-02
113,111,14,NVDA,2.48119,2023-11-01,2023-11-03
114,112,14,NVDA,2.27061,2023-01-20,2023-01-24
115,113,14,NVDA,2.35154,2023-02-15,2023-02-17
116,114,14,NVDA,2.47684,2023-11-02,2023-11-06
117,115,14,NVDA,2.47665,2023-11-03,2023-11-07
118,116,14,NVDA,2.44911,2023-11-06,2023-11-08
119,117,14,NVDA,2.45578,2023-11-07,2023-11-09
120,118,14,NVDA,2.42289,2023-11-08,2023-11-10
121,119,14,NVDA,2.46724,2023-11-09,2023-11-13
122,120,14,NVDA,2.42626,2023-11-10,2023-11-14
123,121,14,NVDA,2.35018,2023-11-13,2023-11-15
124,122,14,NVDA,2.45185,2023-11-14,2023-11-16
125,123,14,NVDA,2.39395,2023-11-15,2023-11-17
126,124,14,NVDA,2.34189,2023-02-16,2023-02-21
127,125,14,NVDA,2.47266,2023-11-16,2023-11-20
128,126,14,NVDA,2.4237,2023-11-17,2023-11-21
129,127,14,NVDA,2.44548,2023-11-20,2023-11-22
130,128,14,NVDA,2.43081,2023-11-21,2023-11-24
131,129,14,NVDA,2.3972,2023-11-22,2023-11-27
132,130,14,NVDA,2.51555,2023-11-24,2023-11-28
133,131,14,NVDA,2.54508,2023-11-27,2023-11-29
134,132,14,NVDA,2.42643,2023-11-28,2023-11-30
135,133,14,NVDA,2.42246,2023-11-29,2023-12-01
136,134,14,NVDA,2.42906,2023-11-30,2023-12-04
137,135,14,NVDA,2.28787,2023-02-17,2023-02-22
138,136,14,NVDA,2.42647,2023-12-01,2023-12-05
139,137,14,NVDA,2.3963,2023-12-04,2023-12-06
140,138,14,NVDA,2.32877,2023-12-05,2023-12-07
141,139,14,NVDA,2.3759,2023-12-06,2023-12-08
142,140,14,NVDA,2.3407,2023-12-07,2023-12-11
143,141,14,NVDA,2.23883,2023-12-08,2023-12-12
144,142,14,NVDA,2.29359,2023-12-11,2023-12-13
145,143,14,NVDA,2.33593,2023-12-12,2023-12-14
146,144,14,NVDA,2.40919,2023-12-13,2023-12-15
147,145,14,NVDA,2.39742,2023-12-14,2023-12-18
148,146,14,NVDA,2.49434,2023-02-21,2023-02-23
149,147,14,NVDA,2.38455,2023-12-15,2023-12-19
150,148,14,NVDA,2.40424,2023-12-18,2023-12-20
151,149,14,NVDA,2.40255,2023-12-19,2023-12-21
152,150,14,NVDA,2.38042,2023-12-20,2023-12-22
153,151,14,NVDA,2.34869,2023-12-21,2023-12-26
154,152,14,NVDA,2.41388,2023-12-22,2023-12-27
155,153,14,NVDA,2.3841,2023-12-26,2023-12-28
156,154,14,NVDA,2.42245,2023-12-27,2023-12-29
157,155,14,NVDA,2.30736,2023-12-28,2024-01-02
158,156,14,NVDA,2.4226,2023-12-29,2024-01-03
159,157,14,NVDA,2.47618,2023-02-22,2023-02-24
160,158,14,NVDA,2.39425,2024-01-02,2024-01-04
161,159,14,NVDA,2.44771,2024-01-03,2024-01-05
162,160,14,NVDA,2.45149,2024-01-04,2024-01-08
