index,window_idx,stock_idx,ticker,score,start_date,end_date
0,8,,,2.53863,2023-01-30,2023-02-01
1,9,,,2.83467,2023-01-31,2023-02-02
2,10,,,2.71078,2023-02-01,2023-02-03
3,22,,,2.67719,2023-02-17,2023-02-22
4,23,,,2.62353,2023-02-21,2023-02-23
5,24,,,2.4698,2023-02-22,2023-02-24
6,86,,,3.55556,2023-05-22,2023-05-24
7,87,,,3.52895,2023-05-23,2023-05-25
8,88,,,3.4994,2023-05-24,2023-05-26
9,89,,,2.56427,2023-05-25,2023-05-30
10,90,,,2.51636,2023-05-26,2023-05-31
11,125,,,2.48015,2023-07-19,2023-07-21
12,126,,,2.5658,2023-07-20,2023-07-24
13,148,,,2.73783,2023-08-21,2023-08-23
14,149,,,2.78184,2023-08-22,2023-08-24
15,150,,,2.74925,2023-08-23,2023-08-25
16,212,,,2.53971,2023-11-20,2023-11-22
17,213,,,2.46546,2023-11-21,2023-11-24
18,283,,,2.71248,2024-03-05,2024-03-07
19,284,,,2.69891,2024-03-06,2024-03-08
20,285,,,2.58156,2024-03-07,2024-03-11
21,355,,,2.57283,2024-06-17,2024-06-20
22,356,,,2.58988,2024-06-18,2024-06-21
23,357,,,2.523,2024-06-20,2024-06-24
24,418,,,2.51909,2024-09-17,2024-09-19
25,419,,,2.68735,2024-09-18,2024-09-20
26,420,,,2.62197,2024-09-19,2024-09-23
27,504,,,2.78233,2025-01-22,2025-01-24
