index,window_idx,stock_idx,ticker,score,start_date,end_date
0,35,,,0.0009291051286324792,2023-03-09,2023-03-13
1,146,,,-0.0029159467504917824,2023-08-17,2023-08-21
2,164,,,4.9350998480968133e-05,2023-09-13,2023-09-15
3,165,,,0.00941092398200949,2023-09-14,2023-09-18
4,194,,,0.0087017206845309,2023-10-25,2023-10-27
5,218,,,-0.0008768251614073574,2023-11-29,2023-12-01
6,228,,,0.009310673227278465,2023-12-13,2023-12-15
7,229,,,0.008206165876880944,2023-12-14,2023-12-18
8,239,,,0.006928935353811949,2023-12-29,2024-01-03
9,240,,,0.01134601792363138,2024-01-02,2024-01-04
10,241,,,-0.000852731057899625,2024-01-03,2024-01-05
11,260,,,0.00407506486178838,2024-01-31,2024-02-02
12,341,,,0.0007141914134177751,2024-05-28,2024-05-30
13,342,,,0.01243053917474407,2024-05-29,2024-05-31
14,343,,,0.026501331936431505,2024-05-30,2024-06-03
15,344,,,0.007852378009456151,2024-05-31,2024-06-04
16,358,,,0.003539790110334007,2024-06-21,2024-06-25
17,374,,,-0.0037674313893399924,2024-07-16,2024-07-18
18,386,,,0.01820400319957277,2024-08-01,2024-08-05
19,406,,,-0.004534503409305279,2024-08-29,2024-09-03
20,408,,,0.013275769927823255,2024-09-03,2024-09-05
21,409,,,0.003972835438329936,2024-09-04,2024-09-06
22,410,,,0.009174577478456292,2024-09-05,2024-09-09
23,411,,,0.0007633981144484214,2024-09-06,2024-09-10
24,448,,,0.005401964538968129,2024-10-29,2024-10-31
25,452,,,0.0020306734989603004,2024-11-04,2024-11-06
26,454,,,0.0069880253525796965,2024-11-06,2024-11-08
27,483,,,0.01514099336916147,2024-12-18,2024-12-20
28,484,,,0.013097410758122374,2024-12-19,2024-12-23
29,485,,,0.02582199502193222,2024-12-20,2024-12-24
30,494,,,-0.0001480529954428489,2025-01-06,2025-01-08
31,495,,,0.009448154308819456,2025-01-07,2025-01-10
32,497,,,-0.002292620885466723,2025-01-10,2025-01-14
33,506,,,-0.005586730261072981,2025-01-24,2025-01-28
34,507,,,0.001868264876046244,2025-01-27,2025-01-29
35,523,,,-0.002003154437608068,2025-02-19,2025-02-21
36,525,,,0.005742497586072259,2025-02-21,2025-02-25
37,535,,,-0.002161615348684476,2025-03-07,2025-03-11
