index,subsequence_idx,score,start_date,end_date
1,1,2.0851802260384766,2023-01-19,2023-01-23
2,2,3.3337376489636257,2023-02-01,2023-02-03
13,13,3.1293399931810266,2023-02-02,2023-02-06
24,24,2.4906285507318233,2023-02-03,2023-02-07
41,41,2.302022853990895,2023-08-02,2023-08-04
42,42,2.1891323504442752,2023-08-03,2023-08-07
43,43,2.147804422363181,2023-08-04,2023-08-08
66,66,2.2117400854258404,2023-09-05,2023-09-07
224,224,2.0951427248642602,2023-03-02,2023-03-06
234,234,2.224987833561128,2024-04-11,2024-04-15
250,250,2.701705736038736,2024-05-01,2024-05-03
251,251,2.011878951157979,2024-05-02,2024-05-06
278,278,3.690418425753293,2024-06-07,2024-06-11
280,280,4.542557691250488,2024-06-10,2024-06-12
281,281,3.8715378857697282,2024-06-11,2024-06-13
319,319,2.9294271105790615,2024-08-01,2024-08-05
320,320,3.381305731830511,2024-08-02,2024-08-06
321,321,2.65675895261118,2024-08-05,2024-08-07
356,356,2.8216966258001426,2024-09-18,2024-09-20
358,358,2.533099983237783,2024-09-19,2024-09-23
427,427,3.126912308713021,2024-12-18,2024-12-20
428,428,2.5445806883273026,2024-12-19,2024-12-23
429,429,2.6033698773388885,2024-12-20,2024-12-24
448,448,2.019681279928046,2025-01-16,2025-01-21
454,454,2.03426862097087,2025-01-27,2025-01-29
485,485,2.310848952129088,2025-03-07,2025-03-11
486,486,2.316055300608974,2025-03-10,2025-03-12
