index,subsequence_idx,score,start_date,end_date
44,44,2.91904,2023-08-07,2023-08-09
45,45,2.98663,2023-08-08,2023-08-10
50,50,2.53842,2023-08-14,2023-08-16
51,51,2.69345,2023-08-15,2023-08-17
90,90,2.96296,2023-02-13,2023-02-15
101,101,3.02975,2023-02-14,2023-02-16
113,113,2.67221,2023-02-15,2023-02-17
188,188,3.02145,2024-02-12,2024-02-14
189,189,3.06778,2024-02-13,2024-02-15
191,191,2.76517,2024-02-14,2024-02-16
255,255,3.34406,2024-05-08,2024-05-10
256,256,3.34107,2024-05-09,2024-05-13
258,258,2.9935,2024-05-10,2024-05-14
324,324,3.01362,2024-08-07,2024-08-09
325,325,3.01468,2024-08-08,2024-08-12
326,326,2.49522,2024-08-09,2024-08-13
335,335,2.44848,2023-03-16,2023-03-20
395,395,3.43399,2024-11-06,2024-11-08
396,396,3.32376,2024-11-07,2024-11-11
397,397,2.84117,2024-11-08,2024-11-12
472,472,4.19271,2025-02-19,2025-02-21
473,473,4.29033,2025-02-20,2025-02-24
474,474,3.98635,2025-02-21,2025-02-25
475,475,2.75651,2025-02-24,2025-02-26
477,477,2.87154,2025-02-26,2025-02-28
478,478,2.8777,2025-02-27,2025-03-03
480,480,2.62105,2025-02-28,2025-03-04
484,484,2.51028,2025-03-06,2025-03-10
485,485,2.55333,2025-03-07,2025-03-11
486,486,2.6622,2025-03-10,2025-03-12
487,487,2.51934,2025-03-11,2025-03-13
