index,subsequence_idx,score,start_date,end_date
2,2,2.97159,2023-02-01,2023-02-03
105,105,3.14984,2023-10-24,2023-10-26
106,106,2.5686,2023-10-25,2023-10-27
144,144,3.01593,2023-12-13,2023-12-15
145,145,2.5987,2023-12-14,2023-12-18
156,156,2.37551,2023-12-29,2024-01-03
178,178,2.80497,2024-01-30,2024-02-01
180,180,2.89687,2024-01-31,2024-02-02
181,181,2.42966,2024-02-01,2024-02-05
201,201,2.37617,2023-02-28,2023-03-02
242,242,2.36127,2024-04-22,2024-04-24
243,243,3.46903,2024-04-23,2024-04-25
292,292,2.60429,2024-06-26,2024-06-28
343,343,2.50924,2024-08-30,2024-09-04
407,407,2.37816,2024-11-21,2024-11-25
408,408,3.23812,2024-11-22,2024-11-26
458,458,2.42358,2025-01-30,2025-02-03
510,510,2.40824,2023-04-25,2023-04-27
535,535,2.94826,2023-01-31,2023-02-02
