index,subsequence_idx,score,start_date,end_date
2,2,0.8843013551921662,2023-03-02,2023-03-06
12,12,0.5188159509330478,2024-05-07,2024-05-09
64,64,1.2415887784736597,2024-11-26,2024-11-29
81,81,0.6826746741578188,2025-02-04,2025-02-06
98,98,1.4848445365168679,2023-04-27,2023-05-01
105,105,4.262734498499854,2023-01-31,2023-02-02
120,120,2.470693948301841,2023-07-25,2023-07-27
144,144,6.128681018961741,2023-10-26,2023-10-30
156,156,7.504378631560037,2023-12-13,2023-12-15
168,168,6.619937386257158,2024-02-01,2024-02-05
