index,subsequence_idx,score,start_date,end_date
31,31,2.90045,2023-07-20,2023-07-24
41,41,2.39593,2023-08-02,2023-08-04
42,42,2.67986,2023-08-03,2023-08-07
106,106,3.1545,2023-10-25,2023-10-27
107,107,2.32209,2023-10-26,2023-10-30
180,180,2.70477,2024-01-31,2024-02-02
181,181,2.56245,2024-02-01,2024-02-05
213,213,2.26581,2024-03-14,2024-03-18
260,260,2.48437,2024-05-14,2024-05-16
279,279,2.46656,2023-03-09,2023-03-13
317,317,2.33612,2024-07-30,2024-08-01
318,318,3.22782,2024-07-31,2024-08-02
319,319,2.84525,2024-08-01,2024-08-05
356,356,3.49705,2024-09-18,2024-09-20
358,358,2.69081,2024-09-19,2024-09-23
389,389,2.45745,2024-10-30,2024-11-01
391,391,2.78462,2024-10-31,2024-11-04
427,427,3.12454,2024-12-18,2024-12-20
434,434,2.56572,2023-03-29,2023-03-31
462,462,2.64855,2025-02-05,2025-02-07
