index,subsequence_idx,score
2,2,3.5751
13,13,3.50586
24,24,3.38713
30,30,2.78455
31,31,3.17245
32,32,2.91726
35,35,2.80903
41,41,2.88118
42,42,3.15062
43,43,3.00317
46,46,2.74228
74,74,2.69951
75,75,2.54867
106,106,3.04367
107,107,3.07005
108,108,2.71635
144,144,2.61265
145,145,2.88612
147,147,2.57259
180,180,2.78413
181,181,3.07581
182,182,2.74337
248,248,2.65904
249,249,2.59052
318,318,2.9249
319,319,3.40385
320,320,3.12151
358,358,2.48754
391,391,2.63083
510,510,2.80814
511,511,3.31942
512,512,3.30892
514,514,2.83836
535,535,2.96962
