index,subsequence_idx,score,start_date,end_date
3,3,1.9382926901435644,2023-01-31,2023-02-02
19,19,1.5398092518261846,2023-04-11,2023-04-13
23,23,2.6645860723840262,2023-04-27,2023-05-01
42,42,1.6802579304197238,2023-07-20,2023-07-24
45,45,2.401754191311555,2023-08-02,2023-08-04
64,64,1.9925284243673234,2023-10-23,2023-10-25
65,65,2.120802249960246,2023-10-26,2023-10-30
80,80,2.91581743926538,2024-01-02,2024-01-04
87,87,3.686715466619792,2024-02-01,2024-02-05
101,101,2.031893223407792,2024-04-03,2024-04-05
114,114,1.5735495758811968,2024-05-29,2024-05-31
120,120,1.5884570506224667,2024-06-25,2024-06-27
129,129,2.8235342535761725,2024-08-02,2024-08-06
150,150,2.7030749122893383,2024-10-31,2024-11-04
161,161,1.6783503223135758,2024-12-18,2024-12-20
175,175,1.7849627592286132,2025-02-21,2025-02-25
