index,subsequence_idx,score,start_date,end_date
9,9,2.793621716973943,2023-01-31,2023-02-02
10,10,4.136072865522594,2023-02-01,2023-02-03
11,11,4.588982237208211,2023-02-02,2023-02-06
12,12,3.295201347095066,2023-02-03,2023-02-07
67,67,2.495876655043149,2023-04-25,2023-04-27
68,68,3.2936489927143984,2023-04-26,2023-04-28
69,69,3.4327092230236063,2023-04-27,2023-05-01
70,70,2.212696063664454,2023-04-28,2023-05-02
135,135,2.792967320996165,2023-08-02,2023-08-04
136,136,2.3648293352264753,2023-08-03,2023-08-07
137,137,2.0520051700037722,2023-08-04,2023-08-08
194,194,3.7594828482149776,2023-10-25,2023-10-27
195,195,2.409085431260622,2023-10-26,2023-10-30
260,260,2.640050349478901,2024-01-31,2024-02-02
261,261,2.004686509335936,2024-02-01,2024-02-05
385,385,3.111036547032806,2024-07-31,2024-08-02
386,386,3.759315027837531,2024-08-01,2024-08-05
387,387,3.453494290536317,2024-08-02,2024-08-06
449,449,2.5515829039115903,2024-10-30,2024-11-01
450,450,2.412357524746218,2024-10-31,2024-11-04
483,483,2.8964988103262512,2024-12-18,2024-12-20
485,485,2.347043879972629,2024-12-20,2024-12-24
513,513,2.3837245233117095,2025-02-04,2025-02-06
514,514,3.0688209203978625,2025-02-05,2025-02-07
515,515,2.7129553032904776,2025-02-06,2025-02-10
516,516,2.221674961715566,2025-02-07,2025-02-11
