index,subsequence_idx,score,start_date,end_date
41,41,2.4228157461048063,2023-03-17,2023-03-21
43,43,2.3450521063709444,2023-03-21,2023-03-23
72,72,2.6063614556693655,2023-05-02,2023-05-04
74,74,2.23461084764218,2023-05-04,2023-05-08
91,91,3.0929822181274647,2023-05-30,2023-06-01
92,92,3.0721148672045215,2023-05-31,2023-06-02
176,176,2.636430362585551,2023-09-29,2023-10-03
177,177,3.0235677558574205,2023-10-02,2023-10-04
217,217,2.145791619738744,2023-11-28,2023-11-30
218,218,2.143996023447167,2023-11-29,2023-12-01
219,219,2.149059745524727,2023-11-30,2023-12-04
328,328,2.501059923940589,2024-05-08,2024-05-10
329,329,2.2539296896014145,2024-05-09,2024-05-13
460,460,2.0451555017638388,2024-11-14,2024-11-18
465,465,2.051910535716863,2024-11-21,2024-11-25
470,470,2.5878606421587107,2024-11-29,2024-12-03
471,471,2.045969707438627,2024-12-02,2024-12-04
481,481,2.494181281532403,2024-12-16,2024-12-18
482,482,2.1304155486745073,2024-12-17,2024-12-19
483,483,3.022005747561023,2024-12-18,2024-12-20
529,529,2.0092341282844,2025-02-27,2025-03-03
530,530,2.9324465364127095,2025-02-28,2025-03-04
531,531,2.3777785756864795,2025-03-03,2025-03-05
532,532,2.2035037795850685,2025-03-04,2025-03-06
534,534,2.4486224829707037,2025-03-06,2025-03-10
543,543,2.3197805717218767,2025-03-19,2025-03-21
544,544,2.980199972957311,2025-03-20,2025-03-24
545,545,2.134997997033834,2025-03-21,2025-03-25
