index,subsequence_idx,score,start_date,end_date
8,8,1.637340239510245,2023-06-20,2023-06-22
13,13,1.1060198998686128,2023-02-02,2023-02-06
24,24,1.3814874818612721,2023-02-03,2023-02-07
37,37,1.4262760706402193,2023-07-27,2023-07-31
99,99,1.1173716322006193,2023-10-17,2023-10-19
132,132,6.426580401129449,2023-11-28,2023-11-30
133,133,6.455812302793482,2023-11-29,2023-12-01
134,134,6.780480142884579,2023-11-30,2023-12-04
144,144,1.7331522092897735,2023-12-13,2023-12-15
202,202,1.0991820457398973,2024-02-29,2024-03-04
222,222,1.2007153027363977,2024-03-27,2024-04-01
239,239,2.2985617290353173,2024-04-17,2024-04-19
255,255,1.5251628517190914,2024-05-08,2024-05-10
256,256,1.3184938333169813,2024-05-09,2024-05-13
288,288,1.8726739480208934,2024-06-21,2024-06-25
319,319,1.1574342030944031,2024-08-01,2024-08-05
338,338,1.2680283421165315,2024-08-23,2024-08-27
339,339,2.3620382002399203,2024-08-26,2024-08-28
349,349,1.2027910339104173,2024-09-09,2024-09-11
425,425,1.3877787202711986,2024-12-16,2024-12-18
426,426,1.4856851810579346,2024-12-17,2024-12-19
427,427,1.1062681594855297,2024-12-18,2024-12-20
510,510,1.229407124629846,2023-04-25,2023-04-27
516,516,1.2607611933826344,2023-05-02,2023-05-04
536,536,8.2729516506495,2023-05-26,2023-05-31
537,537,9.095726129673261,2023-05-30,2023-06-01
538,538,9.392875808074628,2023-05-31,2023-06-02
539,539,1.3767773761122242,2023-06-01,2023-06-05
