index,subsequence_idx,score,start_date,end_date
13,13,2.71221,2023-03-15,2023-03-17
20,20,1.84165,2023-04-14,2023-04-18
29,29,1.86997,2023-05-23,2023-05-25
42,42,2.17688,2023-07-20,2023-07-24
55,55,1.96691,2023-09-14,2023-09-18
91,91,2.30461,2024-02-20,2024-02-22
103,103,2.25978,2024-04-11,2024-04-15
119,119,1.98166,2024-06-20,2024-06-24
128,128,2.68878,2024-07-30,2024-08-01
146,146,1.93482,2024-10-15,2024-10-17
155,155,2.21423,2024-11-21,2024-11-25
176,176,2.2017,2025-02-26,2025-02-28
181,181,2.02135,2025-03-19,2025-03-21
