index,subsequence_idx,score,start_date,end_date
5,5,3.36857,2023-06-14,2023-06-16
6,6,3.10434,2023-06-15,2023-06-20
7,7,3.27914,2023-06-16,2023-06-21
9,9,3.51507,2023-06-21,2023-06-23
10,10,3.26364,2023-06-22,2023-06-26
11,11,3.48267,2023-06-23,2023-06-27
144,144,3.09342,2023-12-13,2023-12-15
145,145,2.91539,2023-12-14,2023-12-18
147,147,3.07038,2023-12-15,2023-12-19
197,197,3.1337,2024-02-23,2024-02-27
198,198,3.01475,2024-02-26,2024-02-28
199,199,3.32301,2024-02-27,2024-02-29
359,359,2.93011,2024-09-20,2024-09-24
361,361,2.52441,2024-09-24,2024-09-26
480,480,2.5265,2025-02-28,2025-03-04
482,482,2.50911,2025-03-04,2025-03-06
530,530,3.58694,2023-05-19,2023-05-23
531,531,3.44511,2023-05-22,2023-05-24
532,532,3.69773,2023-05-23,2023-05-25
536,536,4.16878,2023-05-26,2023-05-31
537,537,3.7992,2023-05-30,2023-06-01
538,538,4.13726,2023-05-31,2023-06-02
