index,subsequence_idx,score,start_date,end_date
48,48,2.3638361199529676,2024-09-24,2024-09-26
80,80,2.4290584548108547,2025-01-30,2025-02-03
87,87,3.022127241613808,2025-03-03,2025-03-05
88,88,2.6060821103495657,2025-03-06,2025-03-10
89,89,2.357845191758326,2025-03-11,2025-03-13
92,92,2.7575590224151614,2025-03-19,2025-03-21
104,104,4.200883426239325,2023-05-23,2023-05-25
106,106,2.000493764412433,2023-05-26,2023-05-31
112,112,2.0031955523882496,2023-06-23,2023-06-27
174,174,3.4110167149993464,2024-02-23,2024-02-27
