index,subsequence_idx,score,start_date,end_date
9,9,2.0572537324889937,2023-01-31,2023-02-02
10,10,2.5468165925327426,2023-02-01,2023-02-03
11,11,2.047683392094169,2023-02-02,2023-02-06
72,72,3.0004891508038143,2023-05-02,2023-05-04
73,73,2.8970731388576674,2023-05-03,2023-05-05
74,74,2.964294667649824,2023-05-04,2023-05-08
102,102,2.6663824061890042,2023-06-14,2023-06-16
103,103,3.1778436921283015,2023-06-15,2023-06-20
104,104,3.747884402599532,2023-06-16,2023-06-21
183,183,2.641321176832249,2023-10-10,2023-10-12
184,184,2.554511829668562,2023-10-11,2023-10-13
185,185,2.6995006987493038,2023-10-12,2023-10-16
191,191,3.9381978162028966,2023-10-20,2023-10-24
192,192,3.474055692572026,2023-10-23,2023-10-25
193,193,3.9185425531515934,2023-10-24,2023-10-26
199,199,2.5349365107209647,2023-11-01,2023-11-03
259,259,2.496788146731481,2024-01-30,2024-02-01
260,260,2.0170574915263564,2024-01-31,2024-02-02
261,261,2.1223077241780426,2024-02-01,2024-02-05
318,318,2.2092562602041155,2024-04-24,2024-04-26
319,319,2.8055208377497243,2024-04-25,2024-04-29
320,320,3.8782140272577394,2024-04-26,2024-04-30
343,343,2.2468953608959126,2024-05-30,2024-06-03
354,354,2.6616527919077573,2024-06-14,2024-06-18
355,355,3.659935852057542,2024-06-17,2024-06-20
356,356,3.727688997645454,2024-06-18,2024-06-21
419,419,2.1157666016563317,2024-09-18,2024-09-20
421,421,2.0559604270672125,2024-09-20,2024-09-24
448,448,2.499322804857902,2024-10-29,2024-10-31
449,449,2.0089398552869295,2024-10-30,2024-11-01
473,473,2.198530421789921,2024-12-04,2024-12-06
512,512,2.3620579437434985,2025-02-03,2025-02-05
513,513,2.182914420118912,2025-02-04,2025-02-06
