index,subsequence_idx,score,start_date,end_date
22,22,1.7362192029175718,2024-06-14,2024-06-18
23,23,4.062499131191888,2024-06-20,2024-06-24
47,47,3.816800510225294,2024-09-19,2024-09-23
70,70,2.1306374752498187,2024-12-18,2024-12-20
81,81,2.727723685104981,2025-02-04,2025-02-06
99,99,1.8417897368446683,2023-05-02,2023-05-04
110,110,8.526016935972988,2023-06-14,2023-06-16
112,112,1.9044300730334587,2023-06-23,2023-06-27
125,125,2.2729789935509888,2023-08-15,2023-08-17
151,151,2.0307879028657108,2023-11-21,2023-11-24
