index,subsequence_idx,score,start_date,end_date
5,5,10.091267186719017,2023-06-14,2023-06-16
6,6,9.43352658565192,2023-06-15,2023-06-20
7,7,10.845655276624985,2023-06-16,2023-06-21
128,128,3.3067940065473946,2023-11-21,2023-11-24
285,285,4.101205340650609,2024-06-17,2024-06-20
286,286,4.964722148118135,2024-06-18,2024-06-21
287,287,4.748113607738632,2024-06-20,2024-06-24
408,408,2.1309839093236467,2024-11-22,2024-11-26
428,428,2.0729085841092543,2024-12-19,2024-12-23
429,429,3.1308978930337026,2024-12-20,2024-12-24
430,430,2.574863856147217,2024-12-23,2024-12-26
459,459,2.022759934968158,2025-01-31,2025-02-04
460,460,2.76489101515611,2025-02-03,2025-02-05
461,461,2.84172772934446,2025-02-04,2025-02-06
