index,subsequence_idx,score,start_date,end_date
4,4,2.0515246482637846,2023-02-03,2023-02-07
13,13,2.0186174943873527,2023-03-15,2023-03-17
24,24,1.6106550601358463,2023-05-02,2023-05-04
46,46,1.8792780990781643,2023-08-07,2023-08-09
55,55,1.7359944982499904,2023-09-14,2023-09-18
58,58,1.5056092789107098,2023-09-27,2023-09-29
73,73,1.7904828910239203,2023-11-30,2023-12-04
92,92,1.5435925638917898,2024-02-23,2024-02-27
113,113,1.593306496428184,2024-05-23,2024-05-28
119,119,2.401729690668352,2024-06-20,2024-06-24
129,129,3.072820711555466,2024-08-02,2024-08-06
136,136,2.2202552064384427,2024-09-03,2024-09-05
143,143,2.149286940877393,2024-10-02,2024-10-04
150,150,1.8927632749585932,2024-10-31,2024-11-04
151,151,3.787926848105694,2024-11-05,2024-11-07
161,161,2.2848593742949874,2024-12-18,2024-12-20
165,165,2.046578649067743,2025-01-07,2025-01-10
175,175,3.4363319274726383,2025-02-21,2025-02-25
