index,subsequence_idx,score,start_date,end_date
39,39,8.020399022572965,2023-03-15,2023-03-17
40,40,8.325348539495614,2023-03-16,2023-03-20
41,41,8.400143850810434,2023-03-17,2023-03-21
112,112,3.913288712239015,2023-06-29,2023-07-03
164,164,3.5088149369613144,2023-09-13,2023-09-15
165,165,3.953989487024681,2023-09-14,2023-09-18
166,166,4.635483274715546,2023-09-15,2023-09-19
213,213,3.565983658541739,2023-11-21,2023-11-24
214,214,2.891899691529564,2023-11-22,2023-11-27
215,215,3.2386977276495417,2023-11-24,2023-11-28
366,366,2.259925605402489,2024-07-03,2024-07-08
483,483,4.735146579358018,2024-12-18,2024-12-20
484,484,4.582363029438591,2024-12-19,2024-12-23
485,485,6.565485134240965,2024-12-20,2024-12-24
486,486,3.1417206491442315,2024-12-23,2024-12-26
524,524,2.2151410258988724,2025-02-20,2025-02-24
526,526,2.634230188347974,2025-02-24,2025-02-26
