index,subsequence_idx,score
89,89,2.67434
91,91,3.01912
92,92,2.73446
159,159,2.69905
160,160,2.74472
161,161,2.84229
211,211,2.51605
213,213,2.49446
227,227,2.77081
228,228,3.03385
229,229,2.9174
300,300,2.80026
302,302,2.78825
303,303,2.63605
356,356,3.6674
358,358,3.34151
359,359,3.29131
365,365,3.62745
366,366,3.44677
367,367,3.38848
427,427,3.15957
428,428,2.99611
429,429,3.02874
469,469,2.8007
470,470,2.86154
471,471,2.65296
484,484,2.73937
485,485,2.53544
494,494,3.66166
495,495,3.43766
496,496,3.48011
537,537,2.51574
