index,subsequence_idx,score,start_date,end_date
89,89,2.3186281092260264,2023-10-04,2023-10-06
91,91,3.5421124229102228,2023-10-05,2023-10-09
92,92,3.455036151075942,2023-10-06,2023-10-10
158,158,2.6266978203880167,2024-01-02,2024-01-04
192,192,2.203311522739537,2024-02-15,2024-02-20
213,213,2.0170052670992495,2024-03-14,2024-03-18
227,227,2.4298651775570934,2024-04-02,2024-04-04
228,228,2.8264736051582378,2024-04-03,2024-04-05
229,229,2.738593898344829,2024-04-04,2024-04-08
349,349,2.492672885697811,2024-09-09,2024-09-11
350,350,3.1204607919848844,2024-09-10,2024-09-12
351,351,3.0924491832997614,2024-09-11,2024-09-13
358,358,2.0975792492654253,2024-09-19,2024-09-23
365,365,2.5015729048244078,2024-09-30,2024-10-02
366,366,3.444708032360834,2024-10-01,2024-10-03
367,367,2.7370802870763487,2024-10-02,2024-10-04
396,396,2.1564460345599556,2024-11-07,2024-11-11
416,416,2.326089032698483,2024-12-04,2024-12-06
469,469,2.493500836545314,2025-02-13,2025-02-18
470,470,2.563513574750115,2025-02-14,2025-02-19
471,471,3.023696526288448,2025-02-18,2025-02-20
472,472,2.609319659681599,2025-02-19,2025-02-21
473,473,2.3531706086284276,2025-02-20,2025-02-24
483,483,3.3794423629014836,2025-03-05,2025-03-07
484,484,3.491233980950042,2025-03-06,2025-03-10
485,485,4.4055343457877765,2025-03-07,2025-03-11
486,486,2.1022001147755764,2025-03-10,2025-03-12
487,487,1.934115226646511,2025-03-11,2025-03-13
