index,subsequence_idx,score
9,9,2.77043
10,10,2.71879
11,11,2.51193
29,29,2.41239
30,30,2.64717
99,99,2.56652
100,100,2.585
129,129,2.38826
130,130,2.7396
131,131,2.72599
132,132,2.76766
133,133,2.56948
137,137,2.51496
138,138,2.56995
139,139,2.51173
143,143,2.42304
144,144,2.73965
145,145,2.6581
150,150,2.34679
292,292,2.6506
293,293,2.99264
294,294,2.87855
404,404,2.52151
405,405,2.80275
406,406,2.82526
422,422,2.41717
424,424,2.60904
425,425,2.62014
426,426,2.6729
427,427,2.73552
428,428,2.7792
429,429,2.69576
488,488,2.618
489,489,2.86747
491,491,2.74937
492,492,2.53369
493,493,2.48877
494,494,2.7641
495,495,2.7252
496,496,2.7997
536,536,2.41772
537,537,2.69458
538,538,2.49167
