index,subsequence_idx,score,start_date,end_date
2,2,2.1953898265306813,2023-02-01,2023-02-03
26,26,2.2006412267581394,2023-07-13,2023-07-17
27,27,2.3008929153079962,2023-07-14,2023-07-18
28,28,2.6400432785430508,2023-07-17,2023-07-19
29,29,3.4823686730611754,2023-07-18,2023-07-20
30,30,3.156965775603306,2023-07-19,2023-07-21
31,31,3.365263581192733,2023-07-20,2023-07-24
99,99,2.7995397240844024,2023-10-17,2023-10-19
100,100,2.6837666997734826,2023-10-18,2023-10-20
120,120,2.5114103235970595,2023-11-10,2023-11-14
130,130,3.7575224397656943,2023-11-24,2023-11-28
131,131,3.7418683734626614,2023-11-27,2023-11-29
166,166,2.1118756752283825,2024-01-12,2024-01-17
246,246,2.413026035172606,2023-03-06,2023-03-08
293,293,2.2046482796196734,2024-06-27,2024-07-01
320,320,2.0103179880595072,2024-08-02,2024-08-06
356,356,2.198330009418089,2024-09-18,2024-09-20
365,365,2.4339193815430424,2024-09-30,2024-10-02
366,366,3.1618861472020994,2024-10-01,2024-10-03
367,367,3.036805237510773,2024-10-02,2024-10-04
379,379,2.5571987810292933,2023-03-22,2023-03-24
390,390,2.0338443078252286,2023-03-23,2023-03-27
395,395,2.256101775939336,2024-11-06,2024-11-08
453,453,2.6449558135689055,2025-01-24,2025-01-28
454,454,2.813285789302113,2025-01-27,2025-01-29
488,488,2.7058320031709235,2025-03-12,2025-03-14
489,489,2.686541452528853,2025-03-13,2025-03-17
491,491,3.2395705627053077,2025-03-14,2025-03-18
