index,subsequence_idx,score,start_date,end_date
26,26,4.93213044643697,2024-06-28,2024-07-02
62,62,4.208085734519003,2024-11-18,2024-11-20
69,69,2.6193317380810726,2024-12-13,2024-12-17
70,70,2.8174164742831933,2024-12-18,2024-12-20
91,91,3.069855729118794,2025-03-14,2025-03-18
106,106,5.703618854669344,2023-05-26,2023-05-31
111,111,2.791084499247777,2023-06-20,2023-06-22
112,112,3.309824142941561,2023-06-23,2023-06-27
119,119,2.6800878259046024,2023-07-20,2023-07-24
156,156,2.984884046215284,2023-12-13,2023-12-15
