index,subsequence_idx,score
1,1,1.93352
29,29,2.08222
30,30,2.64767
31,31,1.89131
53,53,2.17839
54,54,2.31495
55,55,1.97353
56,56,1.97406
88,88,2.41788
89,89,2.68551
139,139,1.95605
173,173,2.25647
174,174,1.96237
228,228,2.19839
229,229,2.13456
284,284,1.94453
285,285,2.28618
342,342,2.11618
343,343,2.20135
344,344,2.10432
386,386,1.87836
387,387,2.15355
388,388,1.98822
389,389,1.88187
420,420,2.18576
421,421,2.06187
478,478,2.19493
479,479,2.90317
480,480,2.69482
495,495,1.90074
496,496,1.87208
522,522,2.10846
529,529,2.05189
530,530,2.43862
533,533,1.89359
