index,subsequence_idx,score,start_date,end_date
28,28,3.0566473306908133,2023-02-28,2023-03-02
29,29,3.443865184706017,2023-03-01,2023-03-03
30,30,2.0966376203811103,2023-03-02,2023-03-06
90,90,1.932265772892776,2023-05-26,2023-05-31
91,91,3.07582843230716,2023-05-30,2023-06-01
92,92,2.526118315502515,2023-05-31,2023-06-02
117,117,1.8543616159516134,2023-07-07,2023-07-11
118,118,2.278619164961603,2023-07-10,2023-07-12
119,119,1.952093608913991,2023-07-11,2023-07-13
138,138,1.644606055399154,2023-08-07,2023-08-09
154,154,2.1282047230384276,2023-08-29,2023-08-31
155,155,1.876416812090358,2023-08-30,2023-09-01
217,217,2.739295850190445,2023-11-28,2023-11-30
218,218,3.7055540722249845,2023-11-29,2023-12-01
219,219,2.7903199129466656,2023-11-30,2023-12-04
239,239,2.0830715865389013,2023-12-29,2024-01-03
240,240,1.9335424477405325,2024-01-02,2024-01-04
279,279,1.5047855732722304,2024-02-28,2024-03-01
302,302,2.128649993562986,2024-04-02,2024-04-04
303,303,1.5366494725862685,2024-04-03,2024-04-05
304,304,2.025772964839639,2024-04-04,2024-04-08
309,309,1.7879559666190505,2024-04-11,2024-04-15
310,310,2.41358951066159,2024-04-12,2024-04-16
311,311,1.7842755526482905,2024-04-15,2024-04-17
331,331,1.6221886555820584,2024-05-13,2024-05-15
332,332,1.6020945158415998,2024-05-14,2024-05-16
341,341,3.434828660476127,2024-05-28,2024-05-30
342,342,3.8824108900625154,2024-05-29,2024-05-31
343,343,3.6491364991089186,2024-05-30,2024-06-03
356,356,1.5818888081875127,2024-06-18,2024-06-21
404,404,1.8808392132360237,2024-08-27,2024-08-29
405,405,2.3846694737832252,2024-08-28,2024-08-30
406,406,2.0812522035300094,2024-08-29,2024-09-03
407,407,1.6626502946495971,2024-08-30,2024-09-04
418,418,2.03061705980148,2024-09-17,2024-09-19
419,419,1.5649462528443425,2024-09-18,2024-09-20
420,420,1.5323256032697925,2024-09-19,2024-09-23
443,443,1.5648800692418128,2024-10-22,2024-10-24
454,454,1.5760383227711294,2024-11-06,2024-11-08
455,455,2.2874794371948326,2024-11-07,2024-11-11
456,456,1.6847814730541684,2024-11-08,2024-11-12
471,471,1.9621508237608791,2024-12-02,2024-12-04
472,472,2.3556120782521917,2024-12-03,2024-12-05
483,483,2.099029229927043,2024-12-18,2024-12-20
505,505,2.3670778755633486,2025-01-23,2025-01-27
506,506,2.60903711660887,2025-01-24,2025-01-28
507,507,2.045594406264885,2025-01-27,2025-01-29
525,525,1.745692532371934,2025-02-21,2025-02-25
528,528,1.6713205939219817,2025-02-26,2025-02-28
