index,subsequence_idx,score,start_date,end_date
2,2,2.67831,2023-02-01,2023-02-03
6,6,2.49346,2023-06-15,2023-06-20
13,13,3.0961,2023-02-02,2023-02-06
201,201,2.85412,2023-02-28,2023-03-02
212,212,2.76833,2023-03-01,2023-03-03
224,224,2.805,2023-03-02,2023-03-06
245,245,2.47358,2024-04-25,2024-04-29
247,247,2.5673,2024-04-26,2024-04-30
346,346,2.45406,2023-03-17,2023-03-21
402,402,2.44562,2024-11-14,2024-11-18
455,455,2.44916,2025-01-28,2025-01-30
456,456,2.4801,2025-01-29,2025-01-31
510,510,2.43996,2023-04-25,2023-04-27
511,511,2.44663,2023-04-26,2023-04-28
535,535,2.60121,2023-01-31,2023-02-02
