index,subsequence_idx,score,start_date,end_date
9,9,2.97816,2023-06-21,2023-06-23
10,10,3.02316,2023-06-22,2023-06-26
11,11,2.98907,2023-06-23,2023-06-27
37,37,2.63593,2023-07-27,2023-07-31
38,38,2.55454,2023-07-28,2023-08-01
191,191,2.59647,2024-02-14,2024-02-16
192,192,2.90751,2024-02-15,2024-02-20
193,193,2.80712,2024-02-16,2024-02-21
254,254,3.50497,2024-05-07,2024-05-09
255,255,3.48324,2024-05-08,2024-05-10
256,256,3.39749,2024-05-09,2024-05-13
346,346,2.42916,2023-03-17,2023-03-21
356,356,2.42422,2024-09-18,2024-09-20
358,358,2.81789,2024-09-19,2024-09-23
359,359,2.77212,2024-09-20,2024-09-24
385,385,2.56047,2024-10-24,2024-10-28
452,452,2.82028,2025-01-23,2025-01-27
453,453,3.26519,2025-01-24,2025-01-28
454,454,3.04401,2025-01-27,2025-01-29
533,533,2.67066,2023-05-24,2023-05-26
534,534,3.02555,2023-05-25,2023-05-30
536,536,3.38119,2023-05-26,2023-05-31
537,537,3.12559,2023-05-30,2023-06-01
538,538,3.01063,2023-05-31,2023-06-02
