index,subsequence_idx,score,start_date,end_date
88,88,2.2662067597080457,2023-05-24,2023-05-26
89,89,2.509802219336301,2023-05-25,2023-05-30
90,90,4.833216685432478,2023-05-26,2023-05-31
91,91,3.152021905026098,2023-05-30,2023-06-01
92,92,2.927334252854021,2023-05-31,2023-06-02
106,106,3.5114396484027233,2023-06-21,2023-06-23
107,107,3.8829731691050173,2023-06-22,2023-06-26
108,108,3.988337494229485,2023-06-23,2023-06-27
206,206,2.218901333206809,2023-11-10,2023-11-14
215,215,2.1178569705509234,2023-11-24,2023-11-28
327,327,7.562977485960175,2024-05-07,2024-05-09
328,328,6.559777789957254,2024-05-08,2024-05-10
329,329,8.104316575926852,2024-05-09,2024-05-13
343,343,2.442373958502499,2024-05-30,2024-06-03
419,419,2.5384856461648266,2024-09-18,2024-09-20
420,420,2.873849379254037,2024-09-19,2024-09-23
421,421,3.3015940720582435,2024-09-20,2024-09-24
485,485,2.265035385975925,2024-12-20,2024-12-24
486,486,4.457546431984551,2024-12-23,2024-12-26
487,487,2.6656773008420753,2024-12-24,2024-12-27
505,505,3.923271514184217,2025-01-23,2025-01-27
506,506,4.1285666555210945,2025-01-24,2025-01-28
507,507,4.000943268139054,2025-01-27,2025-01-29
