index,subsequence_idx,score,start_date,end_date
0,0,3.2155497198156806,2023-01-18,2023-01-20
9,9,2.358115888044116,2024-04-24,2024-04-26
23,23,2.19654763088459,2024-06-20,2024-06-24
47,47,1.9655835400556867,2024-09-19,2024-09-23
56,56,2.4292663293360826,2024-10-28,2024-10-30
67,67,3.1456398310068256,2024-12-10,2024-12-12
101,101,2.5050398316676157,2023-05-10,2023-05-12
128,128,2.081131374490237,2023-08-23,2023-08-25
143,143,5.118626134279555,2023-10-23,2023-10-25
154,154,2.8233618999264447,2023-12-05,2023-12-07
