index,subsequence_idx,score,start_date,end_date
2,2,2.45249,2023-02-01,2023-02-03
13,13,2.46151,2023-02-02,2023-02-06
32,32,2.58392,2023-07-21,2023-07-25
35,35,3.09582,2023-02-06,2023-02-08
46,46,3.90647,2023-02-07,2023-02-09
57,57,3.73632,2023-02-08,2023-02-10
68,68,3.57293,2023-02-09,2023-02-13
104,104,2.82738,2023-10-23,2023-10-25
105,105,3.02306,2023-10-24,2023-10-26
106,106,2.95573,2023-10-25,2023-10-27
178,178,2.38754,2024-01-30,2024-02-01
180,180,2.68089,2024-01-31,2024-02-02
213,213,2.37497,2024-03-14,2024-03-18
214,214,2.39891,2024-03-15,2024-03-19
244,244,2.57679,2024-04-24,2024-04-26
245,245,2.51608,2024-04-25,2024-04-29
323,323,2.47219,2023-03-15,2023-03-17
429,429,2.38655,2024-12-20,2024-12-24
462,462,2.44215,2025-02-05,2025-02-07
521,521,2.78508,2023-05-09,2023-05-11
522,522,2.77679,2023-05-10,2023-05-12
523,523,2.58279,2023-05-11,2023-05-15
