index,subsequence_idx,score,start_date,end_date
9,9,2.7984997088644197,2024-04-24,2024-04-26
35,35,2.149541555744612,2023-03-15,2023-03-17
63,63,3.24375264551153,2024-11-21,2024-11-25
67,67,3.1578471659767184,2024-12-10,2024-12-12
108,108,2.123802180801267,2023-06-06,2023-06-08
116,116,2.728704222201286,2023-02-03,2023-02-07
127,127,3.465897240350068,2023-02-08,2023-02-10
143,143,2.7515427711388347,2023-10-23,2023-10-25
167,167,2.0563912818739083,2024-01-29,2024-01-31
174,174,2.3000833799768974,2024-02-23,2024-02-27
