index,subsequence_idx,score,start_date,end_date
2,2,2.166881787101377,2023-02-01,2023-02-03
13,13,2.585225188999042,2023-02-02,2023-02-06
24,24,2.252925057680322,2023-02-03,2023-02-07
35,35,3.5899870118877275,2023-02-06,2023-02-08
46,46,4.98201696803399,2023-02-07,2023-02-09
57,57,3.590377899851206,2023-02-08,2023-02-10
104,104,3.206996246468582,2023-10-23,2023-10-25
105,105,3.160620966441502,2023-10-24,2023-10-26
178,178,2.577194071262716,2024-01-30,2024-02-01
180,180,2.994035656411501,2024-01-31,2024-02-02
197,197,2.637225245684409,2024-02-23,2024-02-27
198,198,2.2243290775121474,2024-02-26,2024-02-28
244,244,3.038553214852015,2024-04-24,2024-04-26
245,245,3.3993225304404415,2024-04-25,2024-04-29
288,288,2.4777180471711495,2024-06-21,2024-06-25
312,312,2.7854160897255964,2023-03-14,2023-03-16
323,323,2.204941275458796,2023-03-15,2023-03-17
388,388,2.0949902296001706,2024-10-29,2024-10-31
405,405,2.7386447104680043,2024-11-19,2024-11-21
406,406,3.0725006599483136,2024-11-20,2024-11-22
407,407,3.2432187377252464,2024-11-21,2024-11-25
419,419,2.9516168244554617,2024-12-09,2024-12-11
420,420,3.4997792158958942,2024-12-10,2024-12-12
462,462,2.5027916910628933,2025-02-05,2025-02-07
521,521,2.4074736861819406,2023-05-09,2023-05-11
522,522,2.163830556246179,2023-05-10,2023-05-12
542,542,2.425444182838359,2023-06-06,2023-06-08
543,543,2.209040338932681,2023-06-07,2023-06-09
