index,subsequence_idx,score,start_date,end_date
13,13,2.351562778326748,2023-02-06,2023-02-08
14,14,9.131604675158243,2023-02-07,2023-02-09
15,15,9.047711969166118,2023-02-08,2023-02-10
16,16,7.9407096102295585,2023-02-09,2023-02-13
113,113,2.773391621756958,2023-06-30,2023-07-05
260,260,2.1523221741999348,2024-01-31,2024-02-02
292,292,2.209957044684991,2024-03-18,2024-03-20
357,357,3.906629491484558,2024-06-20,2024-06-24
358,358,3.1123651671307972,2024-06-21,2024-06-25
364,364,2.1098267264623747,2024-07-01,2024-07-03
382,382,2.118874264522154,2024-07-26,2024-07-30
393,393,2.305053835457789,2024-08-12,2024-08-14
402,402,2.1299246047067717,2024-08-23,2024-08-27
485,485,5.032364076590316,2024-12-20,2024-12-24
486,486,3.6559515063823342,2024-12-23,2024-12-26
487,487,2.237117450407566,2024-12-24,2024-12-27
