index,subsequence_idx,score,start_date,end_date
176,176,2.54688,2024-01-26,2024-01-30
177,177,2.53666,2024-01-29,2024-01-31
286,286,4.16148,2024-06-18,2024-06-21
287,287,4.1051,2024-06-20,2024-06-24
288,288,4.2428,2024-06-21,2024-06-25
294,294,2.48401,2024-06-28,2024-07-02
301,301,2.96736,2023-03-13,2023-03-15
312,312,2.80369,2023-03-14,2023-03-16
323,323,3.24426,2023-03-15,2023-03-17
393,393,2.71686,2024-11-04,2024-11-06
394,394,2.65147,2024-11-05,2024-11-07
395,395,2.87373,2024-11-06,2024-11-08
446,446,2.87063,2023-03-30,2023-04-03
457,457,2.88985,2023-03-31,2023-04-04
468,468,3.06778,2023-04-03,2023-04-05
494,494,4.48836,2025-03-19,2025-03-21
495,495,4.41619,2025-03-20,2025-03-24
496,496,4.48961,2025-03-21,2025-03-25
536,536,2.88379,2023-05-26,2023-05-31
537,537,2.72378,2023-05-30,2023-06-01
538,538,3.01902,2023-05-31,2023-06-02
