index,subsequence_idx,score,start_date,end_date
7,7,1.9763695215634811,2023-02-16,2023-02-21
17,17,1.7427123747238134,2023-03-31,2023-04-04
42,42,2.5755988182581286,2023-07-20,2023-07-24
47,47,1.6450776505421938,2023-08-10,2023-08-14
48,48,1.9792320122988578,2023-08-15,2023-08-17
49,49,4.586634834572835,2023-08-18,2023-08-22
50,50,1.581043631813093,2023-08-23,2023-08-25
73,73,1.8296489722350568,2023-11-30,2023-12-04
84,84,2.0718470715375563,2024-01-19,2024-01-23
101,101,1.7594774296328193,2024-04-03,2024-04-05
107,107,1.672301517613626,2024-04-29,2024-05-01
113,113,2.229152890273965,2024-05-23,2024-05-28
119,119,1.5691303278076056,2024-06-20,2024-06-24
123,123,2.3567781723600607,2024-07-09,2024-07-11
146,146,1.515721785812285,2024-10-15,2024-10-17
165,165,2.9728475169508797,2025-01-07,2025-01-10
