index,subsequence_idx,score,start_date,end_date
6,6,1.7330146323707474,2023-01-26,2023-01-30
7,7,1.6590239757801024,2023-01-27,2023-01-31
8,8,2.343520181980697,2023-01-30,2023-02-01
20,20,2.456925001118235,2023-02-15,2023-02-17
52,52,3.1071053711067984,2023-04-03,2023-04-05
53,53,2.7654666013565974,2023-04-04,2023-04-06
54,54,1.7461007529933696,2023-04-05,2023-04-10
102,102,1.5206174620630393,2023-06-14,2023-06-16
124,124,3.427589110264324,2023-07-18,2023-07-20
125,125,4.33802323601395,2023-07-19,2023-07-21
126,126,2.4609015890075305,2023-07-20,2023-07-24
143,143,1.845409921000736,2023-08-14,2023-08-16
146,146,4.37115739583659,2023-08-17,2023-08-21
147,147,4.205793163397625,2023-08-18,2023-08-22
148,148,4.321486302303417,2023-08-21,2023-08-23
149,149,2.776929353291089,2023-08-22,2023-08-24
187,187,1.951536482230145,2023-10-16,2023-10-18
188,188,2.6077509828157197,2023-10-17,2023-10-19
218,218,1.8052249313968975,2023-11-29,2023-12-01
219,219,1.843645837887777,2023-11-30,2023-12-04
238,238,1.8093771138024302,2023-12-28,2024-01-02
252,252,1.7586132959163583,2024-01-19,2024-01-23
253,253,1.9978222458628665,2024-01-22,2024-01-24
303,303,1.9086177417965862,2024-04-03,2024-04-05
321,321,1.9543169161254332,2024-04-29,2024-05-01
322,322,2.2378115117061066,2024-04-30,2024-05-02
334,334,1.5981550947508794,2024-05-16,2024-05-20
338,338,1.6788536329889947,2024-05-22,2024-05-24
339,339,2.1543392608875402,2024-05-23,2024-05-28
356,356,2.134306796543241,2024-06-18,2024-06-21
357,357,1.7513906285783984,2024-06-20,2024-06-24
373,373,2.597044044846707,2024-07-15,2024-07-17
374,374,1.8875474584090246,2024-07-16,2024-07-18
375,375,1.8854773197978425,2024-07-17,2024-07-19
436,436,2.459599331215017,2024-10-11,2024-10-15
437,437,2.558149566526079,2024-10-14,2024-10-16
438,438,2.208989518160947,2024-10-15,2024-10-17
494,494,2.4255888248759807,2025-01-06,2025-01-08
495,495,3.0280764185191873,2025-01-07,2025-01-10
496,496,1.9554464969946475,2025-01-08,2025-01-13
505,505,1.5041686541722477,2025-01-23,2025-01-27
506,506,1.985367258774883,2025-01-24,2025-01-28
523,523,1.5492404167193081,2025-02-19,2025-02-21
