index,subsequence_idx,score,start_date,end_date
33,33,2.3124540042264408,2023-03-07,2023-03-09
34,34,4.215323863684724,2023-03-08,2023-03-10
35,35,4.336778651627511,2023-03-09,2023-03-13
36,36,3.143083338434063,2023-03-10,2023-03-14
37,37,3.375994884087126,2023-03-13,2023-03-15
38,38,2.874839092656875,2023-03-14,2023-03-16
39,39,2.9179957687431166,2023-03-15,2023-03-17
40,40,2.504129568517634,2023-03-16,2023-03-20
41,41,2.2312254794575335,2023-03-17,2023-03-21
58,58,2.5513239020200897,2023-04-12,2023-04-14
59,59,2.6295916076114776,2023-04-13,2023-04-17
60,60,2.675036032983085,2023-04-14,2023-04-18
308,308,2.330275528742423,2024-04-10,2024-04-12
309,309,3.1843223007993062,2024-04-11,2024-04-15
310,310,2.7956586332551208,2024-04-12,2024-04-16
386,386,2.0005611020215723,2024-08-01,2024-08-05
411,411,2.8914295697175465,2024-09-06,2024-09-10
412,412,3.0735981590841366,2024-09-09,2024-09-11
413,413,2.6980484038056005,2024-09-10,2024-09-12
452,452,2.939583386519166,2024-11-04,2024-11-06
453,453,3.6833705399642653,2024-11-05,2024-11-07
454,454,3.635748692998417,2024-11-06,2024-11-08
483,483,2.1654694439637323,2024-12-18,2024-12-20
484,484,2.08624952214219,2024-12-19,2024-12-23
485,485,2.323462991988212,2024-12-20,2024-12-24
500,500,2.1195310034787602,2025-01-15,2025-01-17
514,514,2.2091569308719654,2025-02-05,2025-02-07
515,515,2.4283325751659515,2025-02-06,2025-02-10
516,516,2.0645906629613555,2025-02-07,2025-02-11
522,522,3.008331440650675,2025-02-18,2025-02-20
523,523,3.1663443508132314,2025-02-19,2025-02-21
524,524,2.583966246725618,2025-02-20,2025-02-24
530,530,2.1198338653618585,2025-02-28,2025-03-04
534,534,2.588737863164386,2025-03-06,2025-03-10
535,535,2.4029144016126582,2025-03-07,2025-03-11
