index,subsequence_idx,score,start_date,end_date
10,10,2.1027215414185063,2023-03-02,2023-03-06
11,11,1.505317120745126,2023-03-07,2023-03-09
20,20,1.846066374602416,2023-04-14,2023-04-18
37,37,1.5978106187233616,2023-06-28,2023-06-30
55,55,2.046904790984334,2023-09-14,2023-09-18
69,69,1.9808862850183164,2023-11-13,2023-11-15
103,103,2.128884000370721,2024-04-11,2024-04-15
109,109,1.5935394719871316,2024-05-07,2024-05-09
112,112,1.772208685718214,2024-05-20,2024-05-22
119,119,2.278838131255011,2024-06-20,2024-06-24
124,124,1.5475724336483814,2024-07-12,2024-07-16
125,125,2.072444029999531,2024-07-17,2024-07-19
137,137,2.032795529348444,2024-09-06,2024-09-10
143,143,1.97992589712292,2024-10-02,2024-10-04
149,149,1.6278502932977617,2024-10-28,2024-10-30
151,151,3.988263349202597,2024-11-05,2024-11-07
161,161,2.0964884099766765,2024-12-18,2024-12-20
171,171,1.5445655468168067,2025-02-04,2025-02-06
174,174,1.8343304881554559,2025-02-18,2025-02-20
