index,subsequence_idx,score,start_date,end_date
10,10,2.24910432465863,2023-03-02,2023-03-06
22,22,1.5553291527888593,2023-04-24,2023-04-26
28,28,1.6121411339669607,2023-05-18,2023-05-22
55,55,1.6287629843628422,2023-09-14,2023-09-18
60,60,2.1026923953935555,2023-10-05,2023-10-09
76,76,4.759992655820646,2023-12-13,2023-12-15
114,114,1.7756921183049545,2024-05-29,2024-05-31
119,119,3.445943458552763,2024-06-20,2024-06-24
129,129,1.5354788537970774,2024-08-02,2024-08-06
136,136,2.089611597133694,2024-09-03,2024-09-05
140,140,2.871905433546347,2024-09-19,2024-09-23
157,157,1.6446822169840696,2024-12-02,2024-12-04
169,169,1.7528927294734347,2025-01-27,2025-01-29
172,172,3.1661052270749166,2025-02-07,2025-02-11
177,177,2.0913870748498624,2025-03-03,2025-03-05
