index,subsequence_idx,score,start_date,end_date
5,5,2.1827874652611836,2023-06-14,2023-06-16
6,6,2.1149470451904056,2023-06-15,2023-06-20
38,38,2.019273735057732,2023-07-28,2023-08-01
101,101,2.2018021638688845,2023-02-14,2023-02-16
108,108,2.5944551929782182,2023-10-27,2023-10-31
109,109,2.4836592800457655,2023-10-30,2023-11-01
110,110,3.1626899907017023,2023-10-31,2023-11-02
189,189,2.2309230757062704,2024-02-13,2024-02-15
247,247,2.040585632314312,2024-04-26,2024-04-30
249,249,2.4867131447928426,2024-04-30,2024-05-02
386,386,2.864749421140972,2024-10-25,2024-10-29
387,387,3.4130158862234787,2024-10-28,2024-10-30
388,388,3.6145512125035784,2024-10-29,2024-10-31
395,395,2.019436152939929,2024-11-06,2024-11-08
397,397,2.0374266255719564,2024-11-08,2024-11-12
398,398,2.916459463431089,2024-11-11,2024-11-13
399,399,5.483278396299029,2024-11-12,2024-11-14
400,400,5.336917093894346,2024-11-13,2024-11-15
402,402,5.062408387598264,2024-11-14,2024-11-18
403,403,2.485880740966962,2024-11-15,2024-11-19
450,450,2.3285074235989085,2025-01-21,2025-01-23
451,451,2.4088942028446967,2025-01-22,2025-01-24
452,452,2.101703863769803,2025-01-23,2025-01-27
465,465,2.028540360061468,2025-02-10,2025-02-12
466,466,3.5086074407358585,2025-02-11,2025-02-13
514,514,3.8510776291958573,2023-04-28,2023-05-02
515,515,3.954158189317537,2023-05-01,2023-05-03
516,516,4.602294530121183,2023-05-02,2023-05-04
