index,subsequence_idx,score,start_date,end_date
0,0,1.6090585555810384,2023-01-18,2023-01-20
10,10,2.674281983747887,2024-04-29,2024-05-01
26,26,2.2924546890736752,2024-06-28,2024-07-02
61,61,8.38400331335217,2024-11-13,2024-11-15
82,82,1.9366175304961548,2025-02-07,2025-02-11
92,92,2.441924214910761,2025-03-19,2025-03-21
99,99,3.9530175100915774,2023-05-02,2023-05-04
110,110,2.0088573768222173,2023-06-14,2023-06-16
126,126,4.283954945219005,2023-08-18,2023-08-22
133,133,2.264227507742625,2023-09-14,2023-09-18
