index,subsequence_idx,score
9,9,3.06334
10,10,3.17581
11,11,3.16296
39,39,2.5677
71,71,2.4789
72,72,2.604
73,73,2.548
137,137,3.23614
138,138,3.40654
139,139,3.38121
203,203,2.4727
204,204,2.60852
261,261,2.50138
262,262,3.08541
263,263,2.92357
264,264,2.59327
390,390,2.85266
391,391,2.75667
419,419,2.61521
420,420,2.72803
421,421,2.55775
447,447,3.53719
448,448,3.67607
449,449,3.81858
454,454,3.0625
460,460,2.9124
461,461,3.03661
462,462,2.7643
485,485,2.65566
497,497,2.57171
498,498,2.6425
499,499,2.67389
