index,subsequence_idx,score
41,41,1.91292
67,67,2.00734
68,68,2.36064
69,69,1.9075
85,85,2.19528
126,126,2.13893
128,128,2.20327
129,129,2.23274
130,130,2.20154
144,144,2.40598
164,164,2.37952
165,165,2.33363
166,166,2.2601
181,181,1.90126
193,193,1.99532
228,228,1.86521
271,271,2.37557
272,272,2.36031
273,273,1.95185
302,302,2.02798
317,317,2.17463
318,318,1.95592
421,421,1.89775
448,448,3.06465
449,449,2.95941
450,450,2.30962
465,465,1.91621
481,481,2.64961
482,482,2.35194
483,483,2.26338
522,522,2.02582
523,523,2.14716
526,526,1.98109
527,527,2.36422
