index,subsequence_idx,score,start_date,end_date
63,63,2.63962,2023-04-19,2023-04-21
64,64,2.90116,2023-04-20,2023-04-24
65,65,2.78727,2023-04-21,2023-04-25
66,66,2.68321,2023-04-24,2023-04-26
87,87,2.36131,2023-05-23,2023-05-25
88,88,2.53836,2023-05-24,2023-05-26
289,289,3.19263,2024-03-13,2024-03-15
290,290,3.41042,2024-03-14,2024-03-18
291,291,3.29182,2024-03-15,2024-03-19
419,419,4.08157,2024-09-18,2024-09-20
420,420,4.02798,2024-09-19,2024-09-23
421,421,4.11657,2024-09-20,2024-09-24
498,498,2.57559,2025-01-13,2025-01-15
499,499,2.66895,2025-01-14,2025-01-16
520,520,2.73839,2025-02-13,2025-02-18
521,521,2.88631,2025-02-14,2025-02-19
522,522,2.86511,2025-02-18,2025-02-20
541,541,2.35948,2025-03-17,2025-03-19
542,542,2.60054,2025-03-18,2025-03-20
543,543,3.03571,2025-03-19,2025-03-21
544,544,2.6733,2025-03-20,2025-03-24
545,545,2.75673,2025-03-21,2025-03-25
