index,subsequence_idx,score,start_date,end_date
2,2,4.17643,2023-02-01,2023-02-03
9,9,2.41933,2023-06-21,2023-06-23
13,13,4.26765,2023-02-02,2023-02-06
18,18,2.66292,2023-07-03,2023-07-06
24,24,3.31259,2023-02-03,2023-02-07
34,34,3.09871,2023-07-25,2023-07-27
36,36,2.92572,2023-07-26,2023-07-28
37,37,2.87939,2023-07-27,2023-07-31
46,46,2.42711,2023-02-07,2023-02-09
105,105,3.09197,2023-10-24,2023-10-26
106,106,2.87484,2023-10-25,2023-10-27
107,107,2.9414,2023-10-26,2023-10-30
180,180,3.43775,2024-01-31,2024-02-02
181,181,3.34907,2024-02-01,2024-02-05
182,182,3.29976,2024-02-02,2024-02-06
212,212,2.41402,2023-03-01,2023-03-03
243,243,3.40159,2024-04-23,2024-04-25
244,244,3.15201,2024-04-24,2024-04-26
245,245,3.24936,2024-04-25,2024-04-29
301,301,2.45204,2023-03-13,2023-03-15
312,312,2.74372,2023-03-14,2023-03-16
323,323,2.84056,2023-03-15,2023-03-17
335,335,2.70394,2023-03-16,2023-03-20
428,428,2.62817,2024-12-19,2024-12-23
429,429,2.84257,2024-12-20,2024-12-24
510,510,3.11476,2023-04-25,2023-04-27
511,511,2.95662,2023-04-26,2023-04-28
512,512,2.97689,2023-04-27,2023-05-01
524,524,2.95546,2023-01-30,2023-02-01
535,535,4.2859,2023-01-31,2023-02-02
