index,subsequence_idx,score,start_date,end_date
27,27,2.58156,2023-07-14,2023-07-18
28,28,2.57571,2023-07-17,2023-07-19
29,29,2.59938,2023-07-18,2023-07-20
30,30,2.83252,2023-07-19,2023-07-21
31,31,2.7108,2023-07-20,2023-07-24
32,32,2.94483,2023-07-21,2023-07-25
34,34,2.52668,2023-07-25,2023-07-27
35,35,2.48339,2023-02-06,2023-02-08
36,36,2.4891,2023-07-26,2023-07-28
46,46,2.68613,2023-02-07,2023-02-09
57,57,2.43517,2023-02-08,2023-02-10
144,144,2.88873,2023-12-13,2023-12-15
145,145,3.05433,2023-12-14,2023-12-18
147,147,3.19832,2023-12-15,2023-12-19
223,223,2.56259,2023-01-23,2023-01-25
323,323,2.88537,2023-03-15,2023-03-17
334,334,2.5959,2023-01-24,2023-01-26
335,335,2.88857,2023-03-16,2023-03-20
346,346,2.82937,2023-03-17,2023-03-21
358,358,2.4426,2024-09-19,2024-09-23
359,359,2.54592,2024-09-20,2024-09-24
427,427,2.4496,2024-12-18,2024-12-20
428,428,2.69647,2024-12-19,2024-12-23
429,429,2.90879,2024-12-20,2024-12-24
445,445,2.72917,2023-01-25,2023-01-27
509,509,2.44019,2023-04-24,2023-04-26
510,510,2.63498,2023-04-25,2023-04-27
511,511,2.73722,2023-04-26,2023-04-28
