index,subsequence_idx,score,start_date,end_date
18,18,2.5984929402116004,2024-05-29,2024-05-31
31,31,3.05304233855969,2024-07-22,2024-07-24
47,47,2.6276715564309776,2024-09-19,2024-09-23
70,70,3.5576570605587636,2024-12-18,2024-12-20
86,86,2.0049920679072524,2025-02-26,2025-02-28
97,97,2.992443867687436,2023-04-24,2023-04-26
118,118,3.1918040912674144,2023-07-17,2023-07-19
133,133,1.9062189525759667,2023-09-14,2023-09-18
167,167,3.513649830549859,2024-01-29,2024-01-31
178,178,1.8871928585165823,2024-03-12,2024-03-14
