index,subsequence_idx,score
0,0,2.31173
1,1,2.22891
16,16,1.87009
39,39,1.94488
57,57,2.40303
58,58,2.59854
59,59,2.2394
74,74,1.92268
122,122,1.96823
124,124,2.29335
125,125,2.40559
149,149,2.37291
150,150,2.33409
176,176,1.98915
177,177,2.36493
178,178,2.18259
181,181,2.12121
188,188,2.25008
189,189,1.93287
268,268,2.32738
269,269,2.00898
313,313,1.87619
332,332,2.23852
376,376,2.05129
407,407,1.9037
430,430,2.02942
431,431,2.19106
432,432,1.85162
439,439,2.39966
440,440,2.00252
485,485,1.94189
502,502,2.10846
532,532,2.07165
