index,subsequence_idx,score
30,30,2.72322
31,31,3.01007
32,32,2.87646
56,56,3.25221
58,58,3.54183
59,59,3.21607
60,60,2.54772
98,98,2.50041
127,127,2.41341
128,128,2.97814
129,129,2.79258
146,146,3.2003
157,157,3.28332
168,168,2.8872
195,195,2.71475
196,196,2.55453
206,206,3.13397
207,207,3.27852
208,208,2.96548
239,239,2.58743
240,240,2.65733
265,265,2.51675
266,266,2.43861
335,335,2.42904
452,452,3.11181
453,453,2.8743
532,532,3.99728
533,533,4.02648
534,534,3.85305
536,536,3.22974
537,537,3.15281
538,538,2.58921
