index,subsequence_idx,score,start_date,end_date
97,97,2.4389565757516154,2023-10-13,2023-10-17
98,98,2.116076356209218,2023-10-16,2023-10-18
127,127,2.1585775066346633,2023-11-20,2023-11-22
128,128,2.3261598902519394,2023-11-21,2023-11-24
146,146,2.5274660533834004,2023-02-21,2023-02-23
157,157,1.8870951903632749,2023-02-22,2023-02-24
161,161,2.0734384485126416,2024-01-05,2024-01-09
162,162,1.9780561815407527,2024-01-08,2024-01-10
194,194,3.5041015930542865,2024-02-20,2024-02-22
232,232,2.2149060370743467,2024-04-09,2024-04-11
265,265,2.722603148114095,2024-05-21,2024-05-23
266,266,2.7233804400238935,2024-05-22,2024-05-24
267,267,4.090293687380795,2024-05-23,2024-05-28
287,287,2.8146627303609244,2024-06-20,2024-06-24
312,312,2.072672141977544,2023-03-14,2023-03-16
405,405,2.773083608824573,2024-11-19,2024-11-21
406,406,2.0307422440260763,2024-11-20,2024-11-22
407,407,2.339132423672346,2024-11-21,2024-11-25
408,408,2.345772779796699,2024-11-22,2024-11-26
428,428,2.8125878095360797,2024-12-19,2024-12-23
429,429,1.972889772747234,2024-12-20,2024-12-24
452,452,6.988631732954748,2025-01-23,2025-01-27
453,453,7.251026355699488,2025-01-24,2025-01-28
454,454,3.5143431310887308,2025-01-27,2025-01-29
474,474,2.188218087159886,2025-02-21,2025-02-25
527,527,3.6638680389185296,2023-05-16,2023-05-18
532,532,4.480414567953812,2023-05-23,2023-05-25
533,533,3.6994211608635266,2023-05-24,2023-05-26
