index,subsequence_idx,score,start_date,end_date
33,33,3.15354,2023-06-09,2023-06-13
34,34,2.87956,2023-06-14,2023-06-16
54,54,3.44052,2023-09-11,2023-09-13
55,55,2.46572,2023-09-14,2023-09-18
75,75,3.08817,2023-12-08,2023-12-12
76,76,2.79533,2023-12-13,2023-12-15
96,96,2.63446,2024-03-12,2024-03-14
117,117,3.12873,2024-06-11,2024-06-13
137,137,2.76764,2024-09-06,2024-09-10
138,138,2.47511,2024-09-11,2024-09-13
167,167,2.51251,2025-01-16,2025-01-21
168,168,2.61837,2025-01-22,2025-01-24
169,169,2.53107,2025-01-27,2025-01-29
