index,subsequence_idx,score,start_date,end_date
3,3,3.16555,2023-06-12,2023-06-14
4,4,3.04282,2023-06-13,2023-06-15
5,5,2.64724,2023-06-14,2023-06-16
6,6,2.43248,2023-06-15,2023-06-20
70,70,3.33115,2023-09-08,2023-09-12
71,71,3.3925,2023-09-11,2023-09-13
72,72,3.33129,2023-09-12,2023-09-14
73,73,2.63265,2023-09-13,2023-09-15
74,74,2.43886,2023-09-14,2023-09-18
141,141,3.14244,2023-12-08,2023-12-12
142,142,3.285,2023-12-11,2023-12-13
143,143,3.17945,2023-12-12,2023-12-14
144,144,2.96187,2023-12-13,2023-12-15
145,145,2.70244,2023-12-14,2023-12-18
208,208,3.02476,2024-03-08,2024-03-12
209,209,3.0463,2024-03-11,2024-03-13
210,210,2.82626,2024-03-12,2024-03-14
280,280,2.92905,2024-06-10,2024-06-12
281,281,3.0179,2024-06-11,2024-06-13
282,282,2.62863,2024-06-12,2024-06-14
293,293,2.47728,2024-06-27,2024-07-01
348,348,2.95117,2024-09-06,2024-09-10
349,349,2.91203,2024-09-09,2024-09-11
350,350,2.6095,2024-09-10,2024-09-12
351,351,2.46604,2024-09-11,2024-09-13
352,352,2.77663,2024-09-12,2024-09-16
353,353,2.56044,2024-09-13,2024-09-17
418,418,2.55557,2024-12-06,2024-12-10
419,419,2.56798,2024-12-09,2024-12-11
448,448,2.71812,2025-01-16,2025-01-21
449,449,3.20402,2025-01-17,2025-01-22
450,450,3.13264,2025-01-21,2025-01-23
451,451,2.79747,2025-01-22,2025-01-24
452,452,2.95729,2025-01-23,2025-01-27
453,453,3.09653,2025-01-24,2025-01-28
454,454,2.7811,2025-01-27,2025-01-29
485,485,2.6316,2025-03-07,2025-03-11
486,486,2.5973,2025-03-10,2025-03-12
544,544,2.88433,2023-06-08,2023-06-12
545,545,3.23577,2023-06-09,2023-06-13
