index,subsequence_idx,score
3,3,3.07502
4,4,2.915
5,5,2.65333
6,6,2.43692
70,70,3.25382
71,71,3.27602
72,72,3.28141
73,73,2.72376
74,74,2.34423
141,141,3.09743
142,142,3.13132
143,143,3.1053
144,144,2.96369
145,145,2.58251
147,147,2.34131
208,208,3.00837
209,209,2.88736
210,210,2.78444
280,280,2.80841
281,281,2.83866
282,282,2.61188
293,293,2.36195
348,348,2.84083
349,349,2.757
350,350,2.65601
351,351,2.41213
352,352,2.76067
353,353,2.48267
418,418,2.61362
419,419,2.43693
448,448,2.65175
449,449,3.0619
450,450,2.97146
451,451,2.79399
452,452,2.96707
453,453,2.96133
454,454,2.72288
485,485,2.63642
486,486,2.51504
544,544,2.81097
545,545,3.15113
