index,subsequence_idx,score
35,35,2.13719
62,62,2.86425
63,63,2.64781
94,94,2.34153
123,123,1.93033
124,124,2.44843
125,125,2.03088
156,156,2.223
157,157,2.12646
175,175,1.93481
189,189,2.09698
204,204,2.13719
219,219,2.43648
220,220,2.00423
226,226,2.31349
259,259,2.20319
260,260,2.0089
290,290,2.45601
335,335,1.89613
336,336,2.23935
337,337,2.41951
338,338,2.25349
342,342,2.07699
343,343,2.22358
358,358,1.86923
369,369,1.88234
387,387,2.25125
388,388,2.03579
434,434,1.92511
441,441,3.14415
442,442,2.46029
452,452,2.48412
453,453,2.02505
474,474,1.93141
493,493,1.99581
494,494,2.07671
495,495,2.19287
545,545,1.87602
