index,subsequence_idx,score,start_date,end_date
86,86,2.78452,2023-09-29,2023-10-03
87,87,2.86452,2023-10-02,2023-10-04
88,88,2.76735,2023-10-03,2023-10-05
89,89,2.49917,2023-10-04,2023-10-06
109,109,3.28603,2023-10-30,2023-11-01
110,110,3.21526,2023-10-31,2023-11-02
111,111,3.23795,2023-11-01,2023-11-03
114,114,2.52237,2023-11-02,2023-11-06
146,146,2.68961,2023-02-21,2023-02-23
157,157,2.73232,2023-02-22,2023-02-24
168,168,2.57011,2023-02-23,2023-02-27
171,171,2.93962,2024-01-19,2024-01-23
172,172,2.91063,2024-01-22,2024-01-24
173,173,2.75346,2024-01-23,2024-01-25
393,393,2.51439,2024-11-04,2024-11-06
394,394,2.47829,2024-11-05,2024-11-07
452,452,3.42003,2025-01-23,2025-01-27
453,453,3.48247,2025-01-24,2025-01-28
454,454,3.33682,2025-01-27,2025-01-29
455,455,2.76407,2025-01-28,2025-01-30
471,471,3.23177,2025-02-18,2025-02-20
472,472,3.18456,2025-02-19,2025-02-21
473,473,3.27222,2025-02-20,2025-02-24
474,474,3.2044,2025-02-21,2025-02-25
475,475,2.89234,2025-02-24,2025-02-26
476,476,2.76114,2025-02-25,2025-02-27
477,477,2.90643,2025-02-26,2025-02-28
478,478,2.64007,2025-02-27,2025-03-03
480,480,2.80048,2025-02-28,2025-03-04
482,482,2.75345,2025-03-04,2025-03-06
484,484,2.77975,2025-03-06,2025-03-10
485,485,2.74933,2025-03-07,2025-03-11
486,486,2.63756,2025-03-10,2025-03-12
