index,subsequence_idx,score
86,86,2.84371
87,87,2.92856
88,88,2.72585
89,89,2.414
109,109,3.19182
110,110,3.3824
111,111,3.06925
114,114,2.4738
146,146,2.77701
157,157,2.76706
168,168,2.46623
171,171,2.9471
172,172,3.00276
173,173,2.64159
393,393,2.54207
394,394,2.50328
452,452,3.31508
453,453,3.53328
454,454,3.26183
455,455,2.70259
471,471,3.21904
472,472,3.33833
473,473,3.22353
474,474,3.09769
475,475,2.86436
476,476,2.6402
477,477,2.81493
478,478,2.69164
480,480,2.69213
481,481,2.40697
482,482,2.68851
484,484,2.66296
485,485,2.71942
486,486,2.60919
