index,subsequence_idx,score,start_date,end_date
17,17,2.9795067701953863,2024-05-23,2024-05-28
30,30,1.8524574353597614,2024-07-17,2024-07-19
47,47,2.18887321104459,2024-09-19,2024-09-23
59,59,2.5746085548634112,2024-11-05,2024-11-07
78,78,1.4518544423493411,2025-01-27,2025-01-29
145,145,4.411764486749885,2023-10-31,2023-11-02
152,152,3.5526141251602494,2023-11-27,2023-11-29
160,160,1.7908768690048267,2023-02-22,2023-02-24
165,165,5.207470084653485,2024-01-19,2024-01-23
173,173,2.834879152016644,2024-02-20,2024-02-22
