index,subsequence_idx,score,start_date,end_date
232,232,2.76717,2024-04-09,2024-04-11
233,233,2.46601,2024-04-10,2024-04-12
234,234,2.59797,2024-04-11,2024-04-15
427,427,2.83939,2024-12-18,2024-12-20
428,428,2.6719,2024-12-19,2024-12-23
429,429,2.91009,2024-12-20,2024-12-24
440,440,3.69858,2025-01-07,2025-01-10
441,441,3.71953,2025-01-08,2025-01-13
442,442,3.69057,2025-01-10,2025-01-14
443,443,3.01317,2025-01-13,2025-01-15
448,448,2.4731,2025-01-16,2025-01-21
450,450,2.57106,2025-01-21,2025-01-23
458,458,2.81358,2025-01-30,2025-02-03
459,459,2.59158,2025-01-31,2025-02-04
460,460,2.67129,2025-02-03,2025-02-05
464,464,2.38312,2025-02-07,2025-02-11
469,469,3.34278,2025-02-13,2025-02-18
470,470,3.1129,2025-02-14,2025-02-19
471,471,3.28516,2025-02-18,2025-02-20
472,472,2.64345,2025-02-19,2025-02-21
473,473,2.83522,2025-02-20,2025-02-24
474,474,2.7105,2025-02-21,2025-02-25
475,475,2.8615,2025-02-24,2025-02-26
476,476,2.67012,2025-02-25,2025-02-27
477,477,2.79382,2025-02-26,2025-02-28
483,483,2.58452,2025-03-05,2025-03-07
484,484,2.5261,2025-03-06,2025-03-10
485,485,2.61656,2025-03-07,2025-03-11
486,486,2.43272,2025-03-10,2025-03-12
494,494,3.34427,2025-03-19,2025-03-21
495,495,3.22368,2025-03-20,2025-03-24
496,496,3.34032,2025-03-21,2025-03-25
