index,subsequence_idx,score,start_date,end_date
28,28,2.0468433508954753,2023-07-17,2023-07-19
30,30,2.1120854532942523,2023-07-19,2023-07-21
233,233,2.3336198245903423,2024-04-10,2024-04-12
296,296,2.1636425708047806,2024-07-02,2024-07-05
297,297,2.116279769228065,2024-07-03,2024-07-08
440,440,3.9670094499599196,2025-01-07,2025-01-10
441,441,4.281993905276532,2025-01-08,2025-01-13
442,442,4.864183035128992,2025-01-10,2025-01-14
443,443,2.6751369094104582,2025-01-13,2025-01-15
458,458,2.835734583955583,2025-01-30,2025-02-03
459,459,2.784298697734267,2025-01-31,2025-02-04
460,460,3.1446720715470495,2025-02-03,2025-02-05
465,465,2.5196566427496085,2025-02-10,2025-02-12
466,466,2.423528553656764,2025-02-11,2025-02-13
467,467,2.586046288364082,2025-02-12,2025-02-14
469,469,3.8571350527053156,2025-02-13,2025-02-18
470,470,3.5507942441200924,2025-02-14,2025-02-19
471,471,3.552460918130156,2025-02-18,2025-02-20
472,472,2.3133218157313213,2025-02-19,2025-02-21
473,473,2.0756879723688386,2025-02-20,2025-02-24
476,476,2.071172234781257,2025-02-25,2025-02-27
482,482,2.42491965807258,2025-03-04,2025-03-06
483,483,3.1597794061280835,2025-03-05,2025-03-07
484,484,3.0035620389880444,2025-03-06,2025-03-10
485,485,2.934564258914719,2025-03-07,2025-03-11
494,494,2.5660466286580275,2025-03-19,2025-03-21
495,495,2.6932033796134416,2025-03-20,2025-03-24
496,496,2.6489589485090366,2025-03-21,2025-03-25
