index,subsequence_idx,score,start_date,end_date
28,28,3.5483566634189736,2023-07-17,2023-07-19
29,29,3.4172778191144455,2023-07-18,2023-07-20
30,30,3.758670133048782,2023-07-19,2023-07-21
51,51,1.9209426554842335,2023-08-15,2023-08-17
52,52,2.379754006602397,2023-08-16,2023-08-18
53,53,1.7841081675088923,2023-08-17,2023-08-21
55,55,2.5081708552052846,2023-08-21,2023-08-23
73,73,2.8558200290325737,2023-09-13,2023-09-15
88,88,2.0785271119830218,2023-10-03,2023-10-05
94,94,1.952225161343276,2023-10-10,2023-10-12
129,129,1.8880598444389858,2023-11-22,2023-11-27
161,161,1.818304070932455,2024-01-05,2024-01-09
207,207,2.8028385691973576,2024-03-07,2024-03-11
211,211,1.8880690450451019,2024-03-13,2024-03-15
213,213,2.2919373488404764,2024-03-14,2024-03-18
283,283,3.4017764959877215,2024-06-13,2024-06-17
284,284,3.2036117499321537,2024-06-14,2024-06-18
285,285,2.0347266391510095,2024-06-17,2024-06-20
295,295,3.097860913955275,2024-07-01,2024-07-03
296,296,3.2791575859784023,2024-07-02,2024-07-05
356,356,1.8278800378301194,2024-09-18,2024-09-20
358,358,3.187204093360279,2024-09-19,2024-09-23
393,393,3.2549870975194324,2024-11-04,2024-11-06
440,440,6.057339334957157,2025-01-07,2025-01-10
441,441,3.4946262278356133,2025-01-08,2025-01-13
442,442,3.1352215297537023,2025-01-10,2025-01-14
469,469,2.0508138953074546,2025-02-13,2025-02-18
471,471,1.89828095615242,2025-02-18,2025-02-20
